な形容詞,chinese,〜な + N形,〜です形,〜で形,〜だった形,〜じゃない形,〜じゃなかった形,〜ならば形,〜だ形,〜に形,,,
暇[な],我很無聊,ひまな,ひまです,ひまで,ひまだった,ひまじゃない,ひまじゃなかった,ひまならば,ひまだ,ひまに,,,
素敵[な],不錯,すてきな,すてきです,すてきで,すてきだった,すてきじゃない,すてきじゃなかった,すてきならば,すてきだ,すてきに,,,
有名[な],著名的,ゆうめいな,ゆうめいです,ゆうめいで,ゆうめいだった,ゆうめいじゃない,ゆうめいじゃなかった,ゆうめいならば,ゆうめいだ,ゆうめいに,,,
きれい[な],美麗,きれいな,きれいです,きれいで,きれいだった,きれいじゃない,きれいじゃなかった,きれいならば,きれいだ,きれいに,,,
元気[な],好,げんきな,げんきです,げんきで,げんきだった,げんきじゃない,げんきじゃなかった,げんきならば,げんきだ,げんきに,,,
静か[な],安靜,しずかな,しずかです,しずかで,しずかだった,しずかじゃない,しずかじゃなかった,しずかならば,しずかだ,しずかに,,,
便利[な],方便的,べんりな,べんりです,べんりで,べんりだった,べんりじゃない,べんりじゃなかった,べんりならば,べんりだ,べんりに,,,
親切[な],善良,しんせつな,しんせつです,しんせつで,しんせつだった,しんせつじゃない,しんせつじゃなかった,しんせつならば,しんせつだ,しんせつに,,,
ハンサム[な],英俊,はんさむな,はんさむです,はんさむで,はんさむだった,はんさむじゃない,はんさむじゃなかった,はんさむならば,はんさむだ,はんさむに,,,
賑やか[な],活潑,にぎやかな,にぎやかです,にぎやかで,にぎやかだった,にぎやかじゃない,にぎやかじゃなかった,にぎやかならば,にぎやかだ,にぎやかに,,,
