い形容詞,chinese,〜い + N形,〜いです形,〜くて形,〜かった形,〜くない形,〜くなかった形,〜ければ形,〜い。形,〜く形,,,
赤い,紅色的,あかい,あかいです,あかくて,あかかった,あかくない,あかくなかった,あかければ,あかいあかい,あかく,,,
美味しい,可口的,おいしいおいしい,おいしいです,おいしくておいしくて,おいしかったおいしかった,おいしくないおいしくないおいしくない,おいしくなかったおいしくなかったおいしくなかった,おいしければおいしければ,おいしいおいしい,おいしくおいしくおいしく,,,
冷たい,寒冷的,つめたい,つめたいです,つめたくて,つめたかった,つめたくない,つめたくなかった,つめたければ,つめたいつめたい,つめたく,,,
易しい,簡單的,やさしい,やさしいです,やさしくて,やさしかった,やさしくない,やさしくなかった,やさしければ,やさしいやさしい,やさしく,,,
難しい,難的,むずかしいむずかしい,むずかしいです,むずかしくてむずかしくて,むずかしかったむずかしかった,むずかしくないむずかしくないむずかしくない,むずかしくなかったむずかしくなかったむずかしくなかった,むずかしければむずかしければ,むずかしいむずかしい,むずかしくむずかしくむずかしく,,,
いい,好的,いい,いいです,よくて,よかった,よくない,よくなかった,よければ,いい,よく,,,
良い,好的,よい,よいです,よくて,よかった,よくない,よくなかった,よければ,よい,よく,,,
青い,藍色的,あおい,あおいです,あおくてあおくて,あおかったあおかった,あおくないあおくない,あおくなかったあおくなかった,あおければあおければ,あおい,あおくあおく,,,
暑い,熱的,あつい,あついです,あつくてあつくて,あつかったあつかった,あつくないあつくない,あつくなかったあつくなかった,あつければあつければ,あつい,あつくあつく,,,
熱い,熱的,あつい,あついです,あつくてあつくて,あつかったあつかった,あつくないあつくない,あつくなかったあつくなかった,あつければあつければ,あつい,あつくあつく,,,
黒い,黑色的,くろい,くろいです,くろくてくろくて,くろかったくろかった,くろくないくろくない,くろくなかったくろくなかった,くろければくろければ,くろい,くろくくろく,,,
寒い,寒冷的,さむい,さむいです,さむくてさむくて,さむかったさむかった,さむくないさむくない,さむくなかったさむくなかった,さむければさむければ,さむい,さむくさむく,,,
白い,白色的,しろい,しろいです,しろくてしろくて,しろかったしろかった,しろくないしろくない,しろくなかったしろくなかった,しろければしろければ,しろい,しろくしろく,,,
高い,昂貴的,たかい,たかいです,たかくてたかくて,たかかったたかかった,たかくないたかくない,たかくなかったたかくなかった,たかければたかければ,たかい,たかくたかく,,,
低い,低的,ひくい,ひくいです,ひくくてひくくて,ひくかったひくかった,ひくくないひくくない,ひくくなかったひくくなかった,ひくければひくければ,ひくい,ひくくひくく,,,
古い,老的,ふるい,ふるいです,ふるくてふるくて,ふるかったふるかった,ふるくないふるくない,ふるくなかったふるくなかった,ふるければふるければ,ふるい,ふるくふるく,,,
安い,便宜的,やすい,やすいです,やすくてやすくて,やすかったやすかった,やすくないやすくない,やすくなかったやすくなかった,やすければやすければ,やすい,やすくやすく,,,
悪い,壞的,わるい,わるいです,わるくてわるくて,わるかったわるかった,わるくないわるくない,わるくなかったわるくなかった,わるければわるければ,わるい,わるくわるく,,,
大きい,大的,おおきい,おおきいです,おおきくておおきくて,おおきかったおおきかった,おおきくないおおきくない,おおきくなかったおおきくなかった,おおきければおおきければ,おおきい,おおきくおおきく,,,
楽しい,樂趣,たのしい,たのしいです,たのしくてたのしくて,たのしかったたのしかった,たのしくないたのしくない,たのしくなかったたのしくなかった,たのしければたのしければ,たのしい,たのしくたのしく,,,
小さい,小的,ちいさい,ちいさいです,ちいさくてちいさくて,ちいさかったちいさかった,ちいさくないちいさくない,ちいさくなかったちいさくなかった,ちいさければちいさければ,ちいさい,ちいさくちいさく,,,
新しい,新的,あたらしい,あたらしいです,あたらしくてあたらしくて,あたらしかったあたらしかった,あたらしくないあたらしくない,あたらしくなかったあたらしくなかった,あたらしければあたらしければ,あたらしい,あたらしくあたらしく,,,
忙しい,忙碌的,いそがしい,いそがしいです,いそがしくていそがしくて,いそがしかったいそがしかった,いそがしくないいそがしくない,いそがしくなかったいそがしくなかった,いそがしければいそがしければ,いそがしい,いそがしくいそがしく,,,
面白い,有趣的,おもしろい,おもしろいです,おもしろくておもしろくて,おもしろかったおもしろかった,おもしろくないおもしろくない,おもしろくなかったおもしろくなかった,おもしろければおもしろければ,おもしろい,おもしろくおもしろく,,,
